,,,size,RTT
43588,19.44409415,,43588,18.28907035
43588,18.67513324,,110768,7.134110774
43588,16.79496432,,261705,3.913608752
43588,16.50747588,,580719,1.878448691
43588,20.02368417,,1208479,1.329760749
110768,6.963384261,,2302679,1.110255405
110768,6.959357393,,,
110768,6.998773015,,,
110768,7.597794227,,,
110768,7.151244977,,,
261705,3.399459645,,,
261705,4.032822326,,,
261705,3.729498014,,,
261705,3.305946477,,,
261705,5.100317299,,,
261705,2.937938087,,,
261705,2.775779925,,,
580719,1.673091465,,,
580719,2.036725551,,,
580719,1.791873868,,,
580719,2.034354378,,,
580719,1.856198193,,,
1208479,1.389984959,,,
1208479,1.383166713,,,
1208479,1.375982461,,,
1208479,1.28204655,,,
1208479,1.217623064,,,
2302679,1.176421618,,,
2302679,1.051406534,,,
2302679,1.102385281,,,
2302679,1.12365277,,,
2302679,1.097410825,,,
