,,,size,totalTime
43588,836.0960484,,43588,786.4300251
43588,803.0307293,,110768,777.6180744
43588,722.183466,,261705,1001.883841
43588,709.8214626,,580719,1066.958857
43588,861.0184193,,1208479,1570.447445
110768,759.0088844,,2302679,2496.964407
110768,758.5699558,,,
110768,762.8662586,,,
110768,828.1595707,,,
110768,779.4857025,,,
261705,870.2616692,,,
261705,1032.402515,,,
261705,954.7514915,,,
261705,846.322298,,,
261705,1305.681229,,,
261705,752.1121502,,,
261705,710.5996609,,,
580719,950.3159523,,,
580719,1156.860113,,,
580719,1017.784357,,,
580719,1155.513287,,,
580719,1054.320574,,,
1208479,1641.572237,,,
1208479,1633.519888,,,
1208479,1625.035286,,,
1208479,1514.096975,,,
1208479,1438.012838,,,
2302679,2645.772219,,,
2302679,2364.613295,,,
2302679,2479.264498,,,
2302679,2527.095079,,,
2302679,2468.076944,,,
